"assembly_accession","物种名称"
"GCF_009362255.1","Tenacibaculum mesophilum"
"GCF_009662475.1","Acidithiobacillus thiooxidans"
"GCF_009831375.1","Mediterraneibacter gnavus"
"GCF_010508875.1","Flavonifractor plautii"
"GCF_010509075.1","Collinsella aerofaciens"
"GCF_010669205.1","Blautia producta"
"GCF_010669225.1","Megamonas funiformis"
"GCF_010669245.1","Pseudolactococcus raffinolactis"
"GCF_010727475.1","Mycolicibacterium mageritense"
"GCF_010727605.1","Mycobacterium simiae"
"GCF_010731695.1","Mycolicibacterium litorale"
"GCF_011387195.1","Streptococcus ruminicola"
"GCF_012317185.1","Clostridium innocuum"
"GCF_012427845.1","Pectobacterium punjabense"
"GCF_012767755.2","Pseudomonas tohonis"
"GCF_013009555.1","Phocaeicola dorei"
"GCF_013046825.1","Turicibacter sanguinis"
"GCF_013170785.1","Mesorhizobium jarvisii"
"GCF_013267395.1","Achromobacter denitrificans"
"GCF_013372125.1","Campylobacter curvus"
"GCF_013372165.1","Campylobacter hyointestinalis"
"GCF_013372225.1","Campylobacter ureolyticus"
"GCF_013377235.1","Mannheimia varigena"
"GCF_013389765.1","Micromonospora carbonacea"
"GCF_014131795.1","Clostridium butyricum"
"GCF_014268495.2","Pseudomonas monsensis"
"GCF_014673495.1","Streptomyces griseofuscus"
"GCF_014779555.2","Lysobacter capsici"
"GCF_015074805.1","Sphingobium fuliginis"
"GCF_015291705.1","Bradyrhizobium arachidis"
"GCF_016026575.1","Fannyhessea vaginae"
"GCF_016026635.1","Staphylococcus pseudintermedius"
"GCF_016026695.1","Lactococcus garvieae"
"GCF_016026735.1","Serratia rubidaea"
"GCF_016027095.1","Sphingomonas paucimobilis"
"GCF_016027375.1","Clostridium perfringens"
"GCF_016027855.1","Atlantibacter hermannii"
"GCF_016028275.1","Staphylococcus carnosus"
"GCF_016028295.1","Staphylococcus auricularis"
"GCF_016028515.1","Stutzerimonas frequens"
"GCF_016028635.1","Stutzerimonas degradans"
"GCF_016028795.1","Macrococcoides caseolyticum"
"GCF_016028855.1","Rothia kristinae"
"GCF_016127195.1","Aeromonas jandaei"
"GCF_016127215.1","Haemophilus parainfluenzae"
"GCF_016127255.1","Leuconostoc pseudomesenteroides"
"GCF_016127275.1","Streptococcus infantarius"
"GCF_016127475.1","Anaerococcus vaginalis"
"GCF_016127955.1","Actinomyces oris"
"GCF_016406325.1","Shewanella putrefaciens"
"GCF_016724805.1","Sutterella wadsworthensis"
"GCF_016725005.1","Streptococcus constellatus"
"GCF_016726365.1","Rothia aeria"
"GCF_016726985.1","Myroides odoratus"
"GCF_016728365.1","Corynebacterium tuberculostearicum"
"GCF_016889425.1","Corynebacterium amycolatum"
"GCF_016894385.1","Cupriavidus oxalaticus"
"GCF_016906185.1","Streptomyces californicus"
"GCF_017724035.1","Xanthomonas euvesicatoria"
"GCF_018075365.1","Virgibacillus pantothenticus"
"GCF_018223745.1","Clostridium beijerinckii"
"GCF_018314255.1","Lentilactobacillus buchneri"
"GCF_018343775.1","Pseudomonas cichorii"
"GCF_018389705.1","Mycoplasma mycoides"
"GCF_018394055.1","Weissella ceti"
"GCF_019046945.1","Streptococcus gordonii"
"GCF_019047465.1","Lelliottia amnigena"
"GCF_019048065.1","Citrobacter farmeri"
"GCF_019048105.1","Providencia rettgeri"
"GCF_019048125.1","Klebsiella aerogenes"
"GCF_019048245.1","Enterobacter hormaechei"
"GCF_019048385.1","Pantoea agglomerans"
"GCF_019048645.1","Streptococcus mutans"
"GCF_019645875.1","Mycolicibacterium senegalense"
"GCF_019668505.1","Borrelia miyamotoi"
"GCF_019669905.1","Methylomonas koyamae"
"GCF_019916025.1","Paraclostridium bifermentans"
"GCF_019930665.1","Bacteroides nordii"
"GCF_019930785.1","Burkholderia dolosa"
"GCF_019930925.1","Bartonella henselae"
"GCF_019931005.1","Granulicatella adiacens"
"GCF_019931045.1","Cupriavidus pauculus"
"GCF_019933235.1","Streptomyces angustmyceticus"
"GCF_019977755.1","Vibrio penaeicida"
"GCF_020097295.1","Aeromonas enteropelogenes"
"GCF_020097475.1","Escherichia fergusonii"
"GCF_020099175.1","Klebsiella quasipneumoniae"
"GCF_020099335.1","Citrobacter amalonaticus"
"GCF_020099395.1","Streptomyces mobaraensis"
"GCF_020162115.1","Tepidimonas taiwanensis"
"GCF_020525545.1","Klebsiella variicola"
"GCF_020546685.1","Deinococcus radiodurans"
"GCF_020735925.1","Bordetella parapertussis"
"GCF_020735985.1","Bordetella holmesii"
"GCF_020736045.1","Haemophilus influenzae"
"GCF_020883495.1","Shinella zoogloeoides"
"GCF_021216655.1","Clavibacter michiganensis"
"GCF_021278985.1","Citrobacter rodentium"
"GCF_021462285.1","Serratia entomophila"
"GCF_021495345.1","Ectopseudomonas hydrolytica"
"GCF_021654455.1","Streptococcus parasuis"
"GCF_021919345.1","Paenarthrobacter nicotinovorans"
"GCF_022179545.1","Mycolicibacterium fortuitum"
"GCF_022453685.1","Agathobacter rectalis"
"GCF_022674245.1","Alicyclobacillus acidoterrestris"
"GCF_022869645.1","Neisseria meningitidis"
"GCF_022984195.1","Synechococcus elongatus"
"GCF_023278185.1","Bradyrhizobium elkanii"
"GCF_023920225.1","Vibrio gazogenes"
"GCF_024298965.1","Streptomyces rapamycinicus"
"GCF_024347315.1","Vibrio atlanticus"
"GCF_024347355.1","Vibrio chagasii"
"GCF_024347415.1","Vibrio crassostreae"
"GCF_024347635.1","Vibrio tasmaniensis"
"GCF_024362345.1","Polaribacter dokdonensis"
"GCF_024918935.1","Polaribacter sejongensis"
"GCF_024925465.1","Ralstonia pseudosolanacearum"
"GCF_025146565.1","Bacteroides eggerthii"
"GCF_025147765.1","Blautia obeum"
"GCF_025148125.1","Blautia wexlerae"
"GCF_025148965.1","Intestinibacter bartlettii"
"GCF_025149285.1","Hungatella hathewayi"
"GCF_025149785.1","Allocoprococcus comes"
"GCF_025150085.1","Dorea longicatena"
"GCF_025150245.1","Dorea formicigenerans"
"GCF_025231465.1","Streptomyces murinus"
"GCF_025998455.1","Helicobacter pylori"
"GCF_026651875.1","Alicyclobacillus fastidiosus"
"GCF_027942015.1","Streptomyces goshikiensis"
"GCF_028596125.1","Listeria innocua"
"GCF_028609885.1","Corynebacterium jeikeium"
"GCF_028751035.1","Helicobacter winghamensis"
"GCF_028885435.1","Mesomycoplasma ovipneumoniae"
"GCF_028891345.1","Xylella fastidiosa"
"GCF_029094545.1","Alkalihalophilus pseudofirmus"
"GCF_029909795.1","Paracoccus versutus"
"GCF_030297255.1","Burkholderia pseudomallei"
"GCF_030408375.1","Corynebacterium afermentans"
"GCF_030408675.1","Corynebacterium durum"
"GCF_030770335.1","Lacticaseibacillus zeae"
"GCF_031191545.1","Schaalia odontolytica"
"GCF_031348265.1","Streptomyces collinus"
"GCF_032878895.1","Butyricimonas faecihominis"
"GCF_033096465.1","Blautia luti"
"GCF_033406955.1","Streptomyces violaceoruber"
"GCF_033546855.1","Metamycoplasma equirhinis"
"GCF_033956065.1","Burkholderia mallei"
"GCF_034355335.1","Blautia producta"
"GCF_034356035.1","Blautia hydrogenotrophica"
"GCF_034424545.1","Trinickia caryophylli"
"GCF_034424645.1","Bordetella avium"
"GCF_034478925.1","Bacillus licheniformis"
"GCF_034554815.1","Rhizobium indigoferae"
"GCF_036323475.1","Solobacterium moorei"
"GCF_036689615.1","Pseudomonas chlororaphis"
"GCF_037113525.1","Butyrivibrio fibrisolvens"
"GCF_037414505.1","Streptomyces netropsis"
"GCF_037935975.1","Teredinibacter turnerae"
"GCF_037948395.1","Serratia nevei"
"GCF_038452265.1","Vibrio diazotrophicus"
"GCF_040267515.1","Delftia lacustris"
"GCF_040529065.1","Xanthomonas sacchari"
"GCF_040739365.1","Staphylococcus capitis"
"GCF_040790665.1","Sulfitobacter pontiacus"
"GCF_041222865.1","Cronobacter turicensis"
"GCF_041295575.1","Sporosarcina pasteurii"
"GCF_042466515.1","Streptomyces iranensis"
"GCF_900005615.1","Paracoccus aminovorans"
"GCF_900119795.1","Tenacibaculum maritimum"
"GCF_900183975.1","Xanthomonas fragariae"
"GCF_900186865.1","Stenotrophomonas maltophilia"
"GCF_900186885.1","Veillonella parvula"
"GCF_900187105.1","Eikenella corrodens"
"GCF_900187175.1","Odoribacter splanchnicus"
"GCF_900187205.1","Pandoraea sputorum"
"GCF_900187235.1","Corynebacterium urealyticum"
"GCF_900324475.1","Enterobacter bugandensis"
"GCF_900474605.1","Enterococcus cecorum"
"GCF_900474615.1","Mammaliicoccus sciuri"
"GCF_900475375.1","Elizabethkingia meningoseptica"
"GCF_900475445.1","Streptococcus cristatus"
"GCF_900475505.1","Streptococcus sanguinis"
"GCF_900475555.1","Micrococcus luteus"
"GCF_900475595.1","Streptococcus uberis"
"GCF_900475625.1","Levilactobacillus brevis"
"GCF_900475675.1","Streptococcus lutetiensis"
"GCF_900475905.1","Kingella kingae"
"GCF_900475975.1","Streptococcus intermedius"
"GCF_900476005.1","Aeromonas caviae"
"GCF_900476065.1","Mesomycoplasma hyorhinis"
"GCF_900476085.1","Mycoplasmoides gallisepticum"
"GCF_900478045.1","Corynebacterium minutissimum"
"GCF_900537995.1","Roseburia intestinalis"
"GCF_900560965.1","Pseudomonas protegens"
"GCF_900636475.1","Streptococcus anginosus"
"GCF_900636575.1","Streptococcus canis"
"GCF_900636915.1","Aggregatibacter aphrophilus"
"GCF_900636985.1","Klebsiella oxytoca"
"GCF_900637025.1","Streptococcus oralis"
"GCF_900637055.1","Brevibacillus brevis"
"GCF_900637185.1","Nocardia asteroides"
"GCF_900637265.1","Achromobacter insolitus"
"GCF_900637475.1","Yersinia pseudotuberculosis"
"GCF_900637515.1","Veillonella dispar"
"GCF_900637615.1","Bordetella hinzii"
"GCF_900637655.1","Segatella oris"
"GCF_900637905.1","Parvimonas micra"
"GCF_900638015.1","Listeria grayi"
"GCF_900638215.1","Nocardiopsis dassonvillei"
"GCF_900660465.1","Mycoplasmoides pneumoniae"
"GCF_900660695.1","Mycoplasmopsis meleagridis"
"GCF_901482695.1","Sphingobacterium thalpophilum"
